# Torsiton mass-giving bag: the connected three-body condensate profile rho3(r) = <N|qbar q(r)|N>.
# Source: run/10_condensate_3pt on the dynamical Nf=2 SU(3) fundamental ensemble L16x48, beta=5.6,
#   sea mass -0.5, 243 configs, sink t_snk=20 (the largest, most ground-state-dominated sink time).
# Normalised to rho3(0)=1. Scale on this ensemble: r0/a = 3.131.
# Half-density radius R0 = 1.76 a (s_T = R0/r0 = 0.563); across sink times t_snk in {16,18,20} the
#   bag brackets R0 = 1.42-1.76 a, i.e. s_T = 0.45-0.56 -- resolved, off the cutoff, IN the window.
# columns:  r/a   rho3(r)
0.00   1.00000
1.00   0.77996
1.41   0.61648
1.73   0.50274
2.00   0.47964
2.24   0.39741
2.45   0.33416
2.83   0.26473
3.00   0.22637
3.16   0.20622
3.32   0.17954
3.46   0.15206
3.61   0.14484
3.74   0.12625
4.00   0.10136
4.12   0.090056
4.24   0.082855
4.36   0.073348
4.47   0.066593
4.58   0.058720
4.69   0.051817
4.90   0.042281
5.00   0.039966
5.10   0.036041
5.20   0.033085
5.39   0.026281
5.48   0.024555
5.66   0.019968
5.74   0.017919
5.83   0.016257
5.92   0.015088
6.00   0.013204
6.16   0.011624
6.32   0.010094
6.40   0.0087432
6.48   0.0079681
6.56   0.0070489
6.71   0.0061410
6.78   0.0058949
6.93   0.0042787
7.00   0.0044938
7.14   0.0041232
7.21   0.0035987
7.35   0.0031591
7.48   0.0023518
7.62   0.0026863
7.68   0.0021799
7.81   0.0016306
8.00   0.0030947
