1 0SharedMemoryNone:  SharedMemoryNone.cc acceleratorAllocDevice 1073741824bytes at 0xf02880000000 for comms buffers 
1 0 1.28299596417 -1.31258271256
1 1 0.101992686742 -0.0221123421231
1 2 0.0169822284868 -0.000793756748287
1 3 0.00346763821146 -3.84295610016e-05
1 4 0.00082705293962 -2.56599092078e-06
1 5 0.000208481399345 -2.10961004636e-07
1 6 5.53647292089e-05 -1.97919323233e-08
1 7 1.55936098343e-05 -2.40170575202e-09
1 8 4.4395939277e-06 -3.08660091107e-10
1 9 1.32053787684e-06 -4.58567559049e-11
1 10 3.84866386658e-07 -6.53025951321e-12
1 11 1.13430086603e-07 -9.13707027846e-13
1 12 3.22246068417e-08 -1.17317382963e-13
1 13 9.21040597536e-09 -1.43148705409e-14
1 14 2.64636429409e-09 -1.79672738996e-15
1 15 7.49865527363e-10 -2.24445227829e-16
1 16 2.19940968507e-10 -3.1460744334e-17
1 17 6.81573965919e-11 -4.7515937105e-18
1 18 2.04805180267e-11 -6.66530277636e-19
1 19 6.26033776297e-12 -9.71634237182e-20
1 20 1.89727918031e-12 -1.39317293546e-20
1 21 5.63510552159e-13 -2.01022000801e-21
1 22 1.70471706082e-13 -3.05952761221e-22
1 23 5.2460120818e-14 -4.78245876451e-23
1 24 1.88974261498e-14 -7.55413561338e-24
1 25 1.58128695284e-14 -1.7712716647e-24
1 26 3.94902511461e-14 -1.66382317277e-24
1 27 1.36488601404e-13 -1.01495192057e-24
1 28 5.02010453912e-13 -3.47402287037e-24
1 29 1.89334851903e-12 -1.24535000467e-22
1 30 7.15309903532e-12 -1.88396906899e-21
1 31 2.73471959417e-11 -1.26332936038e-20
1 32 1.02042671429e-10 6.54867552184e-21
1 33 3.79290090021e-10 1.027279175e-18
1 34 1.40134529521e-09 4.22417491582e-18
1 35 5.04594127833e-09 4.56446006663e-17
1 36 1.78939515322e-08 1.18110687978e-15
1 37 6.41995877043e-08 6.86530265338e-15
1 38 2.30524407392e-07 2.11128587324e-14
1 39 8.28621545688e-07 4.75441750324e-13
1 40 2.99969110385e-06 3.62274561595e-12
1 41 1.11350510296e-05 1.59502412007e-11
1 42 4.13858836224e-05 1.41449528227e-10
1 43 0.000158259863745 2.3891539002e-09
1 44 0.000657672040777 3.87924749081e-08
1 45 0.00310666277487 1.04441391711e-06
1 46 0.0160829606879 3.58950079875e-05
1 47 0.100501999415 0.00196148562819
2 0SharedMemoryNone:  SharedMemoryNone.cc acceleratorAllocDevice 1073741824bytes at 0xe7cfa0000000 for comms buffers 
2 0 1.2824902631 -1.29260533042
2 1 0.105226766491 -0.0225834218311
2 2 0.0183954476302 -0.000906189042612
2 3 0.00374353517635 -4.38055503807e-05
2 4 0.000820307283955 -2.66155488683e-06
2 5 0.000191035019854 -1.99155628431e-07
2 6 4.57975095978e-05 -1.54221795469e-08
2 7 1.15866631234e-05 -1.37302911297e-09
2 8 3.24004035215e-06 -1.6847873587e-10
2 9 9.14408908533e-07 -1.96724176632e-11
2 10 2.51115811421e-07 -2.04846104345e-12
2 11 6.82575453901e-08 -2.10824231292e-13
2 12 1.86155818475e-08 -2.33127250816e-14
2 13 5.27615481586e-09 -3.05760405291e-15
2 14 1.47507767011e-09 -3.90293753071e-16
2 15 4.02785396815e-10 -4.77122227165e-17
2 16 1.09486319284e-10 -6.04220682132e-18
2 17 2.9609865975e-11 -7.43003726026e-19
2 18 8.53669318594e-12 -1.06689989949e-19
2 19 2.44389780784e-12 -1.53650203831e-20
2 20 7.06381351408e-13 -2.43582646822e-21
2 21 2.04770261566e-13 -3.8343539599e-22
2 22 6.07017361323e-14 -6.31430278254e-23
2 23 1.84150555499e-14 -9.89972551588e-24
2 24 7.71310183e-15 -1.56607977645e-24
2 25 1.01824974251e-14 -2.82732764499e-25
2 26 3.17363827051e-14 -9.72910745911e-26
2 27 1.16083573121e-13 -7.91555447577e-25
2 28 4.21911957246e-13 2.25727049703e-24
2 29 1.51642633873e-12 6.47589272604e-23
